Sector,Latitude,Longitude
1,28.3663,76.9456
2,28.5095,77.032
3,28.4909,77.0176
4,28.4738,77.0107
5,28.4794,77.0176
6,28.4745,77.0262
7,28.4644,77.0143
8,28.4668,77.0225
9,28.4603,77
10,28.4537,77.0009
11,28.4531,77.0202
12,28.4723,77.032
13,28.4757,77.0392
14,28.4711,77.0454
15,28.4621,77.0464
16,28.4684,77.0521
17,28.4791,77.0608
18,28.4908,77.069
19,28.504,77.0748
20,28.5106,77.0857
21,28.5134,77.0723
22,28.5072,77.064
23,28.5121,77.0478
24,28.4939,77.1038
25,28.4844,77.086
26,28.4757,77.1032
27,28.4658,77.0917
28,28.4728,77.0865
29,28.4669,77.0663
30,28.4604,77.0579
31,28.4528,77.0498
32,28.4472,77.0406
33,28.442,77.0207
34,28.4294,77.0048
35,,
36,28.416,76.9914
37,28.4375,76.9999
38,28.4347,77.043
39,28.4434,77.0515
40,28.4498,77.0567
41,28.4557,77.0632
42,28.4576,77.102
43,28.4629,77.0772
44,28.4485,77.0759
45,28.4466,77.066
46,28.4374,77.0586
47,28.4276,77.0492
48,28.4177,77.0359
49,28.4121,77.048
50,28.4178,77.0628
51,28.432,77.0686
52,28.4379,77.0785
53,28.4433,77.0948
54,28.4348,77.1089
55,28.4281,77.11
56,28.4245,77.0991
57,28.4232,77.0752
58,28.42,77.1105
59,,
60,28.4003,77.0975
61,28.405,77.0963
62,28.4139,77.0886
63,28.3971,77.0867
64,28.3903,77.0752
65,28.403,77.069
66,28.3925,77.0541
67,28.3859,77.0608
68,28.3853,77.0484
69,28.3966,77.0341
70,28.3968,77.0233
71,28.4104,77.0281
72,28.4225,77.0211
73,28.4072,77.0118
74,28.4158,77.0118
75,28.3925,77.0089
76,28.3935,76.9888
77,28.3801,76.9845
78,28.3733,76.9729
79,28.3624,76.9787
80,28.3659,76.9557
81,28.3867,76.9485
82,28.3935,76.96
83,28.3986,76.9647
84,28.3979,76.9736
85,,
86,28.3986,76.9384
87,28.3936,76.9312
88,28.422,76.9571
89,28.4253,76.9439
90,28.4085,76.9369
91,28.4014,76.9225
92,28.4079,76.9153
93,28.4153,76.9326
94,28.4223,76.9312
95,28.4172,76.9081
96,28.3966,76.8735
97,28.4086,76.8793
98,28.4192,76.8995
99,28.464,76.9614
100,28.4613,76.9708
101,28.4672,76.9801
102,28.475,76.9715
103,,
104,28.4788,76.996
105,28.4952,77.0114
106,28.5007,77.0003
107,28.5052,76.9729
108,28.5134,76.983
109,28.5073,77.0089
110,28.5145,77.0197
111,28.5238,77.032
112,28.5282,77.0176
113,28.5287,77.0233
114,28.5334,77.0118
115,28.5385,77.0061
