,property_type,society,sector,price_in_crores,price_per_sqft,area_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Super Built up area,Built Up area,Carpet area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score
0,flat,maa bhagwati residency,sector 7,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),2.0,2.0,1,4.0,West,Relatively New,,,900.0,0,0,0,0,0,1,28
1,flat,apna enclave,sector 3,0.5,7692.0,650.0,Carpet area: 650 (60.39 sq.m.),2.0,2.0,1,1.0,West,Old Property,,,650.0,0,0,0,0,0,0,37
2,flat,tulsiani easy in homes,sohna road,0.4,6722.0,595.0,Carpet area: 595 (55.28 sq.m.),2.0,2.0,3,12.0,not available,New Property,,,595.0,0,0,0,0,0,1,36
3,flat,smart world orchard,sector 61,1.47,12250.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2.0,2.0,2,2.0,not available,Undefined,,,1200.0,0,0,0,0,0,1,76
4,flat,parkwood westend,sector 92,0.7,5204.0,1345.0,Super Built up area 1345(124.95 sq.m.),2.0,2.0,3,5.0,not available,Under Construction,1345.0,,,0,0,0,0,0,1,0
5,flat,signature global infinity mall,sector 36,0.41,6269.0,654.0,Built Up area: 654 (60.76 sq.m.),2.0,2.0,3,3.0,not available,Undefined,,654.0,,0,0,0,0,0,1,0
6,flat,the cocoon,dwarka expressway,2.0,13333.0,1500.0,Super Built up area 1500(139.35 sq.m.),3.0,3.0,3,5.0,not available,New Property,1500.0,,,0,0,0,0,0,1,0
7,flat,ats triumph,sector 104,1.8,7860.0,2290.0,Carpet area: 2290 (212.75 sq.m.),3.0,4.0,3,14.0,not available,New Property,,,2290.0,0,0,0,0,0,1,60
8,flat,vatika xpressions,sector 88,1.1,8148.0,1350.0,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2.0,4.0,3+,2.0,North-East,Under Construction,,1350.0,1050.0,0,0,0,0,0,1,58
9,flat,raheja revanta,sector 78,4.75,16885.0,2813.0,Built Up area: 2813 (261.34 sq.m.),3.0,3.0,2,31.0,not available,Undefined,,2813.0,,0,0,0,0,0,1,100
10,flat,signature global city 81,sector 81,0.96,9767.0,983.0,Carpet area: 1075 (99.87 sq.m.),2.0,2.0,2,1.0,not available,Undefined,,,1075.0,0,0,0,0,0,1,49
11,flat,hcbs sports ville,sohna road,0.29,5587.0,519.0,Carpet area: 519 (48.22 sq.m.),2.0,2.0,1,4.0,not available,Relatively New,,,519.0,0,0,0,0,0,1,44
12,flat,supertech araville,sector 79,1.35,6940.0,1945.0,Carpet area: 1945 (180.7 sq.m.),3.0,3.0,3,4.0,not available,Relatively New,,,1945.0,0,0,0,0,0,1,0
13,flat,godrej,sector 33,0.95,6859.0,1385.0,Super Built up area 1385(128.67 sq.m.),2.0,2.0,3+,3.0,South-East,Under Construction,1385.0,,,0,0,0,0,0,1,0
14,flat,shree vardhman flora,sector 90,0.7,5384.0,1300.0,Super Built up area 1300(120.77 sq.m.),2.0,2.0,3,13.0,not available,New Property,1300.0,,,0,0,0,0,0,1,15
15,flat,sobha city,sector 108,3.95,16859.0,2343.0,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4.0,5.0,3,25.0,not available,Undefined,,2343.0,2300.0,0,0,0,0,0,1,59
16,flat,senate court,sector 62,0.9,14084.0,639.0,Built Up area: 639 (59.37 sq.m.),1.0,1.0,0,0.0,not available,Undefined,,639.0,,0,0,0,0,0,1,0
17,flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,915.0,Carpet area: 915 (85.01 sq.m.),2.0,2.0,2,0.0,not available,Undefined,,,915.0,0,0,0,0,0,1,49
18,flat,signature global orchard avenue 2,sector 93,,,,Carpet area: 577.11 (53.62 sq.m.),2.0,2.0,3,11.0,East,Under Construction,,,577.11,0,0,0,0,0,1,104
19,flat,central park flower valley,sector 33,2.2,10476.0,2100.0,Super Built up area 2100(195.1 sq.m.),3.0,3.0,3,12.0,North-East,New Property,2100.0,,,0,0,0,0,0,0,49
20,flat,smart world gems,sector 89,1.01,9156.0,1103.0,Carpet area: 1103 (102.47 sq.m.),2.0,2.0,2,4.0,not available,Undefined,,,1103.0,0,0,0,0,0,1,38
21,flat,bestech altura,sector 79,1.85,8604.0,2150.0,Super Built up area 2150(199.74 sq.m.),3.0,4.0,3+,11.0,North,New Property,2150.0,,,0,0,0,0,0,1,49
22,flat,smart world gems,sector 89,0.86,7796.0,1103.0,Super Built up area 1103(102.47 sq.m.),2.0,3.0,3,4.0,not available,Under Construction,1103.0,,,0,0,0,0,0,1,45
23,flat,emaar imperial gardens,sector 102,1.85,9135.0,2025.0,Carpet area: 2025 (188.13 sq.m.),3.0,3.0,3+,0.0,South-West,Relatively New,,,2025.0,0,0,0,0,0,0,95
24,flat,la vida by tata housing,sector 113,2.85,12855.0,2217.0,Super Built up area 2217(205.97 sq.m.),3.0,3.0,3+,10.0,East,New Property,2217.0,,,0,0,0,0,0,1,72
25,flat,the serenas,sector 36,0.42,7910.0,531.0,Carpet area: 531 (49.33 sq.m.),2.0,2.0,1,3.0,not available,Undefined,,,531.0,0,0,0,0,0,1,0
26,flat,m3m golfestate,sector 65,6.15,18331.0,3355.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3.0,4.0,2,20.0,North-East,Undefined,,3355.0,2200.0,0,0,0,0,0,1,34
27,flat,central park resort belgravia residences,sector 48,6.25,24300.0,2572.0,Carpet area: 2880 (267.56 sq.m.),3.0,5.0,3+,5.0,South-East,Moderately Old,,,2880.0,0,0,0,0,0,0,49
28,flat,apex builders,sector 37,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2.0,2.0,2,4.0,North,Relatively New,,,750.0,0,0,0,0,0,1,42
29,flat,godrej habitat,sector 3,1.35,12784.0,1056.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2.0,2.0,0,4.0,North-East,Undefined,,1056.0,912.0,0,0,0,0,0,1,60
30,flat,ompee k s residency,sector 2,1.6,26936.0,594.0,Carpet area: 66 (55.18 sq.m.),2.0,2.0,2,1.0,not available,Relatively New,,,66.0,0,0,0,0,0,1,0
31,flat,bhawna cghs,sector 43,3.25,10156.0,3200.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4.0,4.0,3+,12.0,not available,Moderately Old,3200.0,,3000.0,0,0,1,0,0,0,119
32,flat,adani aangan arcade,sector 88,0.45,7194.0,626.0,Carpet area: 625.47 (58.11 sq.m.),2.0,2.0,1,8.0,not available,New Property,,,625.47,0,0,0,0,0,1,14
33,flat,sare green parc,sector 92,0.85,6538.0,1300.0,Built Up area: 1300 (120.77 sq.m.),3.0,2.0,2,20.0,not available,Undefined,,1300.0,,0,0,0,0,0,1,0
34,flat,shree vardhman flora,sector 90,0.75,5769.0,1300.0,Carpet area: 1300 (120.77 sq.m.),2.0,2.0,3,8.0,North-East,Undefined,,,1300.0,0,0,0,0,0,1,60
35,flat,supertech hues,sector 68,0.82,6950.0,1180.0,Super Built up area 1180(109.63 sq.m.),2.0,2.0,3+,21.0,not available,Under Construction,1180.0,,,0,0,0,0,1,1,72
36,flat,chintels paradiso,sector 109,1.8,8866.0,2030.0,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3.0,3.0,2,0.0,East,Moderately Old,2030.0,,1785.0,0,0,0,0,0,1,83
37,flat,breez global hill view,sohna road,0.3,5403.0,555.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2.0,2.0,2,6.0,North-East,New Property,655.0,,555.0,0,0,0,0,0,1,109
38,flat,ild greens,sector 37,0.78,5714.0,1365.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2.0,2.0,3,1.0,North,Moderately Old,1365.0,1068.1,900.0,0,0,0,0,0,0,103
39,flat,ansal sushant lok ci,sector 43,2.0,15151.0,1320.0,Carpet area: 1320 (122.63 sq.m.),3.0,3.0,2,1.0,North,Old Property,,,1320.0,0,0,0,0,0,2,15
40,flat,ashiana mulberry,sohna road,0.74,6200.0,1194.0,Carpet area: 1210 (112.41 sq.m.),2.0,2.0,3+,12.0,North-West,New Property,,,1210.0,0,0,0,0,0,1,67
41,flat,godrej meridien,sector 106,3.2,16000.0,2000.0,Carpet area: 2002 (185.99 sq.m.),3.0,3.0,3+,6.0,not available,Undefined,,,2002.0,0,0,0,0,0,1,49
42,flat,mapsko casa bella,sector 82,1.3,6378.0,2038.0,Super Built up area 1960(182.09 sq.m.),4.0,4.0,3+,1.0,North,Relatively New,1960.0,,,0,0,0,0,0,1,130
43,flat,pooja apartment,sector 3,0.25,3571.0,700.0,Carpet area: 700 (65.03 sq.m.),2.0,2.0,2,2.0,East,Relatively New,,,700.0,0,0,0,0,0,1,0
44,flat,signature global park,sohna road,0.95,7846.0,1211.0,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),3.0,2.0,3+,1.0,not available,Relatively New,,1210.73,756.6,0,0,0,0,0,1,46
45,flat,dlf new town heights,sector 90,1.99,7297.0,2727.0,Carpet area: 2727 (253.35 sq.m.),4.0,4.0,3+,9.0,East,Relatively New,,,2727.0,0,0,1,0,0,0,102
46,flat,paras dews,sector 106,1.05,7581.0,1385.0,Carpet area: 1385 (128.67 sq.m.),2.0,2.0,2,5.0,West,New Property,,,1385.0,0,0,0,0,0,1,97
47,flat,godrej air,sector 85,1.83,10005.0,1829.0,Carpet area: 1829 (169.92 sq.m.),3.0,3.0,3+,18.0,not available,Undefined,,,1829.0,0,0,0,0,0,1,110
48,flat,dlf the primus,sector 82,2.25,10714.0,2100.0,Carpet area: 2100 (195.1 sq.m.),3.0,3.0,3+,29.0,East,Relatively New,,,2100.0,0,0,0,0,0,2,72
49,flat,emaar mgf emerald floors premier,sector 65,2.8,16969.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3.0,3.0,3+,3.0,not available,Relatively New,,,1650.0,0,0,0,0,0,0,38
50,flat,dlf regency park,sector 28,1.6,14545.0,1100.0,Carpet area: 1100 (102.19 sq.m.),2.0,2.0,2,3.0,North,Relatively New,,,1100.0,0,0,0,0,0,1,52
51,flat,supertech araville,sector 79,0.83,5424.0,1530.0,Carpet area: 1530 (142.14 sq.m.),2.0,2.0,3,5.0,North-East,New Property,,,1530.0,0,0,0,0,0,2,49
52,flat,signature global park,sohna road,0.83,7410.0,1120.0,Carpet area: 1120 (104.05 sq.m.),3.0,2.0,2,1.0,not available,New Property,,,1120.0,0,0,0,0,0,1,16
53,flat,maxworth city residences,sector 10,0.8,6400.0,1250.0,Carpet area: 1250 (116.13 sq.m.),2.0,3.0,2,9.0,not available,New Property,,,1250.0,0,0,0,0,0,1,46
54,flat,deepak minda,manesar,1.25,4715.0,2651.0,Carpet area: 2651 (246.29 sq.m.),4.0,4.0,3+,6.0,not available,Moderately Old,,,2651.0,0,0,0,0,0,0,44
55,flat,pivotal devaan,sector 84,0.3,6666.0,450.0,Carpet area: 450 (41.81 sq.m.),1.0,1.0,1,14.0,not available,New Property,,,450.0,0,0,0,0,0,0,22
56,flat,unitech the residences,sector 33,1.55,9872.0,1570.0,Super Built up area 1570(145.86 sq.m.),3.0,4.0,1,1.0,South,Relatively New,1570.0,,,0,0,0,0,0,1,37
57,flat,chd avenue,sector 71,0.79,6594.0,1198.0,Super Built up area 1198(111.3 sq.m.),2.0,2.0,2,8.0,South-East,Relatively New,1198.0,,,0,0,0,0,1,1,0
58,flat,silverglades the melia,sohna road,1.01,7000.0,1443.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2.0,2.0,3,12.0,not available,Undefined,1450.0,,950.0,0,0,0,0,0,1,80
59,flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.0,1897.0,Super Built up area 1897(176.24 sq.m.),4.0,5.0,3+,4.0,not available,Moderately Old,1897.0,,,0,0,0,0,0,1,37
60,flat,umang winter hills,sector 77,0.99,7857.0,1260.0,Super Built up area 1260(117.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,2,1.0,North,Relatively New,1260.0,,1000.0,0,0,0,0,0,1,97
61,flat,ramprastha skyz,sector 37,1.1,6376.0,1725.0,Super Built up area 1725(160.26 sq.m.),3.0,3.0,3+,7.0,East,Undefined,1725.0,,,0,0,0,0,0,1,109
62,flat,4s aradhya homes,sector 67,1.9,8863.0,2144.0,Super Built up area 2200(204.39 sq.m.),4.0,4.0,3,3.0,not available,New Property,2200.0,,,0,0,0,0,0,0,62
63,flat,ild greens,sector 37,1.0,4320.0,2315.0,Super Built up area 1875(174.19 sq.m.),3.0,3.0,3+,5.0,North,Under Construction,1875.0,,,0,0,0,0,0,1,51
64,flat,bptp freedom park life,sector 57,2.5,11111.0,2250.0,Super Built up area 2250(209.03 sq.m.),3.0,3.0,3,9.0,not available,Moderately Old,2250.0,,,0,0,0,0,0,1,55
65,flat,godrej habitat,sector 3,1.1,10410.0,1057.0,Super Built up area 1056.58(98.16 sq.m.),2.0,2.0,2,14.0,not available,Under Construction,1056.0,,,0,0,0,0,0,1,60
66,flat,ramsons kshitij,sector 95,0.29,5178.0,560.0,Super Built up area 560(52.03 sq.m.),2.0,2.0,2,14.0,not available,Relatively New,560.0,,,0,0,0,0,0,1,50
67,flat,sidhartha ncr one,sector 95,0.55,5556.0,990.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2.0,2.0,3,15.0,North-East,Undefined,,990.0,950.0,0,0,0,0,0,1,0
68,flat,raheja sampada,sector 92,0.65,4744.0,1370.0,Super Built up area 1370(127.28 sq.m.),3.0,2.0,3,6.0,North-East,Relatively New,1370.0,,,0,0,0,0,0,1,49
69,flat,signature the serenas,sohna road,0.5,9406.0,532.0,Carpet area: 531.57 (49.38 sq.m.),2.0,2.0,2,6.0,not available,New Property,,,531.57,0,0,0,0,0,1,37
70,flat,pareena laxmi apartments,sector 99,0.32,5521.0,580.0,Super Built up area 575(53.42 sq.m.)Carpet area: 570.17 sq.ft. (52.97 sq.m.),2.0,2.0,1,2.0,not available,New Property,575.0,,570.17,0,0,0,0,0,1,43
71,flat,satya the hermitage,sector 103,0.93,6404.0,1452.0,Carpet area: 1452 (134.9 sq.m.),2.0,3.0,3,3.0,East,Relatively New,,,1452.0,0,0,0,0,0,0,90
72,flat,smart world gems,sector 89,1.2,8432.0,1423.0,Carpet area: 1423 (132.2 sq.m.),3.0,3.0,2,2.0,North-East,New Property,,,1423.0,0,0,0,0,0,1,44
73,flat,gls arawali homes,sohna road,0.3,4687.0,640.0,Carpet area: 640 (59.46 sq.m.),2.0,2.0,2,4.0,not available,Relatively New,,,640.0,0,0,0,0,0,1,42
74,flat,signature global park,sohna road,0.56,6812.0,822.0,Carpet area: 822 (76.37 sq.m.),2.0,2.0,3,3.0,South,New Property,,,822.0,0,0,0,0,0,1,111
75,flat,bestech park view city,sector 49,2.7,12505.0,2159.0,Super Built up area 2159(200.58 sq.m.),3.0,4.0,3+,6.0,not available,Moderately Old,2159.0,,,0,0,0,0,0,1,0
76,flat,shree vardhman flora,sector 90,1.0,5128.0,1950.0,Super Built up area 1950(181.16 sq.m.),3.0,4.0,3,8.0,North-East,New Property,1950.0,,,0,0,0,0,0,1,95
77,flat,afnhb jalvayu vihar,sector 30,1.45,11153.0,1300.0,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1090 sq.ft. (101.26 sq.m.),3.0,2.0,2,2.0,North,Old Property,,1300.0,1090.0,0,0,0,0,0,2,75
78,flat,m3m soulitude,sector 89,1.25,8784.0,1423.0,Built Up area: 1423 (132.2 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),3.0,3.0,0,4.0,not available,Undefined,,1423.0,1190.0,0,0,0,0,0,1,61
79,flat,pyramid elite,sector 86,0.46,79.0,58228.0,Carpet area: 58141 (5401.48 sq.m.),2.0,2.0,1,0.0,not available,Under Construction,,,58141.0,0,0,0,0,0,1,15
80,flat,emaar mgf palm terraces,sector 66,4.5,10599.0,4246.0,Super Built up area 3670(340.95 sq.m.),5.0,5.0,3+,11.0,not available,New Property,3670.0,,,0,0,0,0,0,1,105
81,flat,hcbs sports ville,sohna road,0.28,3768.0,743.0,Built Up area: 743 (69.03 sq.m.)Carpet area: 643 sq.ft. (59.74 sq.m.),2.0,2.0,1,11.0,East,Relatively New,,743.0,643.0,0,0,0,0,0,1,38
82,flat,puri the aravallis,sector 61,3.87,17200.0,2250.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1249.65 sq.ft. (116.1 sq.m.),3.0,4.0,3+,21.0,East,Undefined,2250.0,,1249.65,0,0,0,0,0,1,58
83,flat,brisk lumbini terrace homes,sector 109,1.38,6338.0,2177.0,Carpet area: 2177 (202.25 sq.m.),3.0,3.0,1,4.0,not available,Moderately Old,,,2177.0,0,0,0,0,0,1,20
84,flat,huda ashok vihar phase,sector 4,0.43,6615.0,650.0,Carpet area: 650 (60.39 sq.m.),2.0,2.0,1,2.0,not available,Relatively New,,,650.0,0,0,0,0,0,1,7
85,flat,my home,sector 2,0.28,3166.0,884.0,Carpet area: 900 (83.61 sq.m.),2.0,1.0,1,2.0,not available,Relatively New,,,900.0,0,0,0,0,1,1,15
86,flat,signature global city,sector 37,1.1,9838.0,1118.0,Carpet area: 1118 (103.87 sq.m.),2.0,2.0,2,4.0,South,Undefined,,,1118.0,0,0,0,0,0,1,59
87,flat,m3m heights,sector 65,2.0,13957.0,1433.0,Built Up area: 1433 (133.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,2,32.0,not available,Undefined,,1433.0,1000.0,0,0,0,0,0,1,48
88,flat,signature global park,sohna road,0.9,8035.0,1120.0,Super Built up area 1120(104.05 sq.m.),3.0,2.0,2,2.0,South,Undefined,1120.0,,,0,0,0,0,0,1,144
89,flat,signature global park,sohna road,0.9,8036.0,1120.0,Built Up area: 1120 (104.05 sq.m.),3.0,2.0,0,2.0,not available,Undefined,,1120.0,,0,0,0,0,0,1,58
90,flat,godrej nature plus,sector 33,1.75,8768.0,1996.0,Built Up area: 1996 (185.43 sq.m.),3.0,3.0,0,2.0,not available,Undefined,,1996.0,,0,0,0,0,0,1,56
91,flat,supertech hues,sector 68,0.93,8611.0,1080.0,Carpet area: 1080 (100.34 sq.m.),2.0,2.0,2,11.0,not available,Undefined,,,1080.0,0,0,0,0,0,1,0
92,flat,dlf new town heights,sector 90,1.8,6600.0,2727.0,Super Built up area 2727(253.35 sq.m.),4.0,4.0,3+,23.0,not available,Moderately Old,2727.0,,,0,0,0,0,0,1,67
93,flat,central park flower valley aqua front towers,sector 33,2.1,11738.0,1789.0,Super Built up area 1789(166.2 sq.m.),3.0,3.0,2,6.0,not available,Under Construction,1789.0,,,0,0,0,0,0,1,24
94,flat,ambience creacions,sector 22,2.0,14492.0,1380.0,Carpet area: 1380 (128.21 sq.m.),2.0,2.0,2,9.0,East,Relatively New,,,1380.0,0,0,0,0,0,1,49
95,flat,signature global city 63a,sector 63,2.0,12800.0,1562.0,Built Up area: 1540 (143.07 sq.m.),3.0,3.0,2,1.0,North,Undefined,,1540.0,,0,0,0,0,0,1,36
96,flat,godrej oasis,sector 88,1.29,7800.0,1654.0,Super Built up area 1629(151.34 sq.m.)Carpet area: 1628 sq.ft. (151.25 sq.m.),3.0,3.0,3,5.0,not available,New Property,1629.0,,1628.0,0,0,0,0,1,1,65
97,flat,m3m skycity,sector 65,2.85,15590.0,1828.0,Super Built up area 1828(169.83 sq.m.),3.0,3.0,3,43.0,South,Undefined,1828.0,,,0,0,0,0,0,0,115
98,flat,supertech araville,sector 79,1.1,5641.0,1950.0,Carpet area: 1950 (181.16 sq.m.),3.0,3.0,3,1.0,not available,Relatively New,,,1950.0,0,0,0,0,0,0,106
99,flat,smart world orchard,sector 61,1.65,13750.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2.0,2.0,2,1.0,not available,Under Construction,,,1200.0,0,0,0,0,0,1,16
100,flat,hcbs sports ville,sohna road,0.24,7407.0,324.0,Carpet area: 324 (30.1 sq.m.),1.0,1.0,2,1.0,North,New Property,,,324.0,0,0,0,0,0,1,68
101,flat,emaar palm premier,sector 77,2.1,10500.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3.0,4.0,3+,11.0,not available,New Property,2000.0,1600.0,1500.0,0,0,0,0,0,0,129
102,flat,godrej nature plus,sector 33,1.9,9849.0,1929.0,Carpet area: 1929 (179.21 sq.m.),3.0,3.0,3+,14.0,not available,New Property,,,1929.0,0,0,0,0,0,1,96
103,flat,godrej aria,sector 79,1.1,11482.0,958.0,Super Built up area 89,2.0,2.0,3,9.0,not available,New Property,89.0,,,0,0,0,0,0,1,62
104,flat,ramsons kshitij,sector 95,0.32,4500.0,711.0,Super Built up area 700(65.03 sq.m.)Carpet area: 443.32 sq.ft. (41.19 sq.m.),2.0,2.0,1,8.0,not available,Relatively New,700.0,,443.32,0,0,0,0,1,2,28
105,flat,conscient one,sector 109,1.7,17617.0,965.0,Built Up area: 965 (89.65 sq.m.)Carpet area: 628 sq.ft. (58.34 sq.m.),1.0,1.0,2,9.0,not available,Undefined,,965.0,628.0,0,0,0,0,0,1,0
106,flat,pareena laxmi apartments,sector 99,0.32,6106.0,524.0,Super Built up area 524(48.68 sq.m.)Carpet area: 424.8 sq.ft. (39.47 sq.m.),2.0,2.0,2,2.0,not available,New Property,524.0,,424.8,0,0,0,0,0,1,50
107,flat,pyramid elite,sector 86,0.45,7739.0,581.0,Carpet area: 581.41 (54.01 sq.m.),2.0,2.0,1,4.0,not available,Undefined,,,581.41,0,0,0,0,0,1,66
108,flat,raheja revanta,sector 78,1.2,10018.0,1198.0,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1.0,2.0,2,32.0,not available,Under Construction,1197.0,,505.0,0,0,0,0,0,1,39
109,flat,m3m skycity,sector 65,2.1,16030.0,1310.0,Super Built up area 1310(121.7 sq.m.),2.0,2.0,2,43.0,not available,New Property,1310.0,,,0,0,0,0,0,1,127
110,flat,signature the roselia,sector 95,0.45,7.0,642857.0,Carpet area: 569243 (52884.41 sq.m.),2.0,2.0,2,2.0,South-West,New Property,,,569243.0,0,0,0,0,0,1,76
111,flat,not applicable,sector 4,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2.0,2.0,1,3.0,not available,Relatively New,,,750.0,0,0,0,0,0,0,26
112,flat,godrej nature plus,sector 33,1.55,9955.0,1557.0,Carpet area: 1557 (144.65 sq.m.),3.0,2.0,3+,8.0,East,New Property,,,1557.0,0,0,0,0,0,1,43
113,flat,ramprastha city,dwarka expressway,1.3,9027.0,1440.0,Super Built up area 1440(133.78 sq.m.),3.0,3.0,2,3.0,not available,Under Construction,1440.0,,,0,0,0,0,0,1,0
114,flat,smartworld 1dxp,sector 113,2.75,10589.0,2597.0,Carpet area: 2597 (241.27 sq.m.),4.0,4.0,3+,20.0,East,Undefined,,,2597.0,0,0,1,0,0,2,57
115,flat,ansal housing highland park,sector 103,1.25,6443.0,1940.0,Super Built up area 1940(180.23 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3.0,3.0,3+,2.0,North-East,New Property,1940.0,,1056.0,0,0,1,0,0,1,105
116,flat,czar mahira homes 63a,sector 63,0.42,7407.0,567.0,Carpet area: 567 (52.68 sq.m.),3.0,2.0,2,1.0,not available,Undefined,,,567.0,0,0,0,0,0,1,0
117,flat,breez global heights,sohna road,0.4,6420.0,623.0,Super Built up area 623(57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2.0,2.0,1,4.0,North-East,New Property,623.0,,599.0,0,0,0,0,0,1,49
118,flat,trisara our homes 3,sohna road,0.34,5405.0,629.0,Carpet area: 629 (58.44 sq.m.),2.0,2.0,1,0.0,not available,New Property,,,629.0,0,0,0,0,0,1,0
119,flat,m3m soulitude,sector 89,1.25,8784.0,1423.0,Super Built up area 1423(132.2 sq.m.),3.0,3.0,3,3.0,East,New Property,1423.0,,,0,0,0,0,1,1,61
120,flat,emaar mgf palm hills,sector 77,1.5,12744.0,1177.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),3.0,3.0,3,4.0,North-East,Relatively New,1450.0,,1177.0,0,0,0,0,0,0,97
121,flat,ramprastha city,dwarka expressway,1.3,9285.0,1400.0,Super Built up area 1400(130.06 sq.m.),3.0,3.0,2,3.0,not available,Under Construction,1400.0,,,0,0,0,0,0,1,0
122,flat,pareena coban residences,sector 99,1.6,8000.0,2000.0,Super Built up area 2000(185.81 sq.m.),3.0,3.0,3,6.0,not available,Under Construction,2000.0,,,0,0,0,0,0,1,0
123,flat,la vida by tata housing,sector 113,1.5,11755.0,1276.0,Carpet area: 1276 (118.54 sq.m.),2.0,2.0,2,13.0,not available,New Property,,,1276.0,0,0,0,0,0,1,71
124,flat,la vida by tata housing,sector 113,1.5,11755.0,1276.0,Super Built up area 1276(118.54 sq.m.),2.0,2.0,2,13.0,not available,New Property,1276.0,,,0,0,0,0,0,1,60
125,flat,godrej summit premia towers,sector 104,0.9,7149.0,1259.0,Built Up area: 1259 (116.96 sq.m.),2.0,2.0,0,16.0,not available,Undefined,,1259.0,,0,0,0,0,0,1,0
126,flat,ardee city,sector 52,1.5,9146.0,1640.0,Super Built up area 1640(152.36 sq.m.),4.0,4.0,3,3.0,not available,Old Property,1640.0,,,0,0,0,0,0,1,65
127,flat,m3m one key resiments,sector 67,0.8,13115.0,610.0,Built Up area: 610 (56.67 sq.m.),1.0,1.0,0,0.0,not available,Undefined,,610.0,,0,0,0,0,0,1,0
128,flat,ansal heights 86,sector 86,1.25,7396.0,1690.0,Super Built up area 1690(157.01 sq.m.),3.0,2.0,1,11.0,not available,New Property,1690.0,,,0,0,0,0,0,1,45
129,flat,mvn athens,sohna road,0.26,5397.0,482.0,Carpet area: 481.74 (44.76 sq.m.),2.0,2.0,1,2.0,not available,Relatively New,,,481.74,0,0,0,0,0,1,37
130,flat,signature the serenas,sohna road,0.42,7909.0,531.0,Carpet area: 531 (49.33 sq.m.),2.0,2.0,1,12.0,not available,New Property,,,531.0,0,0,0,0,0,1,54
131,flat,sushant lok 1 builder floors,sector 43,2.5,12920.0,1935.0,Super Built up area 215(179.77 sq.m.),3.0,3.0,2,2.0,not available,New Property,215.0,,,0,0,0,0,0,1,0
132,flat,umang monsoon breeze,sector 78,0.9,4615.0,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1854 sq.ft. (172.24 sq.m.),3.0,3.0,2,1.0,not available,Moderately Old,1950.0,1900.0,1854.0,0,0,1,0,0,1,65
133,flat,gls avenue 51,sector 92,0.42,7106.0,591.0,Carpet area: 591 (54.91 sq.m.),2.0,2.0,1,4.0,East,Relatively New,,,591.0,0,0,1,0,0,0,42
134,flat,signature global solera,sector 107,0.5,7692.0,650.0,Super Built up area 546(50.73 sq.m.),2.0,2.0,1,11.0,not available,Relatively New,546.0,,,0,0,0,0,0,1,55
