,property_type,society,sector,price_in_crores,price_per_sqft,area_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Super Built up area,Built Up area,Carpet area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score
2992,house,Uppal Southend,sector 49,3.75,25562.0,1467.0213598309992,,6.0,6.0,3,3.0,East,Moderately Old,,1467.02,,0,0,0,0,0,1,49
2993,house,Vipul Tatvam Villa,sector 48,7.25,27971.0,2591.970254906868,,3.0,4.0,2,2.0,South,Moderately Old,,2591.97,,1,1,0,1,0,0,115
2994,house,Vipul Tatvam Villa,sector 48,8.4,21000.0,4000.0,,4.0,5.0,3+,2.0,North,Moderately Old,,4000.0,,1,0,0,1,0,0,49
2995,house,independent,sector 55,3.55,24500.0,1448.9795918367347,,4.0,4.0,3+,2.0,,Old Property,,1448.98,,0,0,0,0,0,0,27
2996,house,DLF New Town Heights,sector 91,2.5,7058.0,3542.0799093227542,,4.0,4.0,3+,3.0,East,Moderately Old,,3542.08,,1,1,0,1,0,0,80
2997,house,DLF New Town Heights,sector 86,2.5,7058.0,3542.0799093227542,,4.0,4.0,3+,3.0,East,Moderately Old,,3542.08,,1,1,0,1,0,0,142
2998,house,Puri Diplomatic Greens,sector 111,9.0,11250.0,8000.0,,5.0,5.0,3+,3.0,North-East,Relatively New,,8000.0,,0,0,0,1,0,1,112
2999,house,independent,sector 40,2.1,23333.0,900.0128573265332,,3.0,3.0,2,3.0,North,Moderately Old,,900.01,,0,0,0,0,0,0,35
3000,house,independent,sector 14,4.5,20000.0,2250.0,,5.0,5.0,1,1.0,,Relatively New,,2250.0,,0,0,0,0,0,1,0
3001,house,independent,sector 43,6.5,35400.0,1836.158192090396,,5.0,4.0,3+,3.0,South-East,Moderately Old,,1836.16,,0,0,0,1,0,0,54
3002,house,independent,sector 40,9.5,40135.0,2367.0113367385075,,12.0,12.0,3+,4.0,,New Property,,2367.01,,0,1,0,0,0,0,57
3003,house,independent,sector 23,5.0,16244.0,3078.059591233686,,4.0,4.0,2,2.0,East,Old Property,,3078.06,,0,0,0,0,0,1,7
3004,house,International City by Sobha Phase 1,sector 109,5.5,21605.0,2545.707012265679,,4.0,4.0,3+,2.0,North-East,New Property,,2545.71,,0,0,0,1,0,1,61
3005,house,International City by SOBHA Phase 2,sector 109,5.65,10463.0,5399.980885023416,,4.0,4.0,3+,2.0,North-East,New Property,,5399.98,,0,0,0,1,0,0,44
3006,house,Emaar MGF Marbella,sector 66,8.8,41615.0,2114.622131442989,,4.0,4.0,3+,3.0,South-East,Relatively New,,2114.62,,0,1,0,1,0,1,107
3007,house,independent,sector 4,3.25,14444.0,2250.0692328994737,,3.0,3.0,2,2.0,South-East,Old Property,,2250.07,,0,0,0,0,0,1,27
3008,house,independent,sector 4,5.0,10101.0,4950.00495000495,,3.0,3.0,2,1.0,North-East,Old Property,,4950.0,,0,0,0,0,0,1,22
3009,house,independent,sector 50,10.45,38703.0,2700.049091801669,,4.0,5.0,2,3.0,North,Moderately Old,,2700.05,,1,0,0,1,0,0,142
3010,house,Vipul Tatvam Villa,sector 48,19.5,22222.0,8775.087750877508,,5.0,6.0,3,2.0,North,Moderately Old,,8775.09,,1,1,0,1,0,0,110
3011,house,independent,sector 82,7.5,23148.0,3240.020736132711,,5.0,5.0,3+,2.0,East,Relatively New,,3240.02,,0,0,0,1,0,0,135
3012,house,independent,sector 4,0.67,8557.0,782.9846908963422,,3.0,2.0,1,1.0,South,Moderately Old,,782.98,,0,0,0,0,0,1,19
3013,house,International City by Sobha Phase 1,sector 109,5.75,16428.0,3500.1217433649867,,4.0,4.0,2,3.0,South-East,Relatively New,,3500.12,,0,0,0,1,0,1,146
3014,house,International City by Sobha Phase 1,sector 109,5.7,10556.0,5399.772641151952,,4.0,5.0,3+,3.0,East,Relatively New,,5399.77,,1,1,0,1,0,1,160
3015,house,independent,sector 9,3.2,13519.0,2367.038982173238,,3.0,3.0,2,1.0,East,Old Property,,2367.04,,0,0,0,0,0,0,36
3016,house,independent,sector 56,11.5,42032.0,2736.01065854587,,12.0,13.0,3+,4.0,West,Relatively New,,2736.01,,1,0,0,1,0,0,49
3017,house,Vipul Tatvam Villa,sector 48,7.69,24069.0,3194.981096015622,,4.0,5.0,3,2.0,North-West,Moderately Old,,3194.98,,1,1,0,1,0,0,110
3018,house,independent,sector 82,7.0,21605.0,3239.990742883592,,4.0,4.0,3+,1.0,North-East,Relatively New,,3239.99,,1,0,0,1,0,0,49
