property_type,society,sector,price_in_crores,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,Built Up area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score
flat,dlf the primus,sector 82,2.25,10714.285714285714,3.0,3.0,3+,29.0,Relatively New,2333.0,0,0,0,0,0,2,72
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.696969696968,3.0,3.0,3+,3.0,Relatively New,1650.0,0,0,0,0,0,0,38
flat,dlf regency park,sector 28,1.6,14545.454545454546,2.0,2.0,2,3.0,Relatively New,1222.0,0,0,0,0,0,1,52
flat,supertech araville,sector 79,0.83,5424.83660130719,2.0,2.0,3,5.0,New Property,1700.0,0,0,0,0,0,2,49
flat,signature global park,sohna road,0.83,7410.714285714285,3.0,2.0,2,1.0,New Property,1244.0,0,0,0,0,0,1,16
flat,maxworth city residences,sector 10,0.8,6400.0,2.0,3.0,2,9.0,New Property,1389.0,0,0,0,0,0,1,46
flat,deepak minda,manesar,1.25,4715.201810637495,4.0,4.0,3+,6.0,Moderately Old,2946.0,0,0,0,0,0,0,44
flat,pivotal devaan,sector 84,0.3,6666.666666666667,1.0,1.0,1,14.0,New Property,500.0,0,0,0,0,0,0,22
flat,unitech the residences,sector 33,1.55,9872.611464968151,3.0,4.0,1,1.0,Relatively New,1421.0,0,0,0,0,0,1,37
flat,chd avenue,sector 71,0.79,6594.32387312187,2.0,2.0,2,8.0,Relatively New,1084.0,0,0,0,0,1,1,0
flat,silverglades the melia,sohna road,1.01,6999.306999306999,2.0,2.0,3,12.0,Relatively New,1840.0,0,0,0,0,0,1,80
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.907221929362,4.0,5.0,3+,4.0,Moderately Old,1717.0,0,0,0,0,0,1,37
flat,umang winter hills,sector 77,0.99,7857.142857142857,2.0,2.0,2,1.0,Relatively New,1696.0,0,0,0,0,0,1,97
flat,ramprastha skyz,sector 37,1.1,6376.811594202899,3.0,3.0,3+,7.0,Relatively New,1561.0,0,0,0,0,0,1,109
flat,4s aradhya homes,sector 67,1.9,8861.940298507463,4.0,4.0,3,3.0,New Property,1991.0,0,0,0,0,0,0,62
flat,ild greens,sector 37,1.0,4319.654427645788,3.0,3.0,3+,5.0,Under Construction,1697.0,0,0,0,0,0,1,51
flat,bptp freedom park life,sector 57,2.5,11111.111111111111,3.0,3.0,3,9.0,Moderately Old,2036.0,0,0,0,0,0,1,55
flat,godrej habitat,sector 3,1.1,10406.811731315043,2.0,2.0,2,14.0,Under Construction,956.0,0,0,0,0,0,1,60
flat,ramsons kshitij,sector 95,0.29,5178.571428571428,2.0,2.0,2,14.0,Relatively New,507.0,0,0,0,0,0,1,50
flat,sidhartha ncr one,sector 95,0.55,5555.555555555556,2.0,2.0,3,15.0,New Property,990.0,0,0,0,0,0,1,0
flat,raheja sampada,sector 92,0.65,4744.525547445255,3.0,2.0,3,6.0,Relatively New,1240.0,0,0,0,0,0,1,49
flat,signature the serenas,sohna road,0.5,9398.496240601504,2.0,2.0,2,6.0,New Property,591.0,0,0,0,0,0,1,37
flat,pareena laxmi apartments,sector 99,0.32,5517.241379310345,2.0,2.0,1,2.0,New Property,837.0,0,0,0,0,0,1,43
flat,satya the hermitage,sector 103,0.93,6404.958677685951,2.0,3.0,3,3.0,Relatively New,1613.0,0,0,0,0,0,0,90
flat,smart world gems,sector 89,1.2,8432.8882642305,3.0,3.0,2,2.0,New Property,1581.0,0,0,0,0,0,1,44
flat,gls arawali homes,sohna road,0.3,4687.5,2.0,2.0,2,4.0,Relatively New,711.0,0,0,0,0,0,1,42
flat,signature global park,sohna road,0.56,6812.652068126521,2.0,2.0,3,3.0,New Property,913.0,0,0,0,0,0,1,111
flat,bestech park view city,sector 49,2.7,12505.789717461788,3.0,4.0,3+,6.0,Moderately Old,2159.0,0,0,0,0,0,1,0
flat,shree vardhman flora,sector 90,1.0,5128.205128205128,3.0,4.0,3,8.0,New Property,1765.0,0,0,0,0,0,1,95
flat,afnhb jalvayu vihar,sector 30,1.45,11153.846153846154,3.0,2.0,2,2.0,Old Property,1300.0,0,0,0,0,0,2,75
flat,m3m soulitude,sector 89,1.25,8784.258608573437,3.0,3.0,0,4.0,New Property,1423.0,0,0,0,0,0,1,61
flat,emaar mgf palm terraces,sector 66,4.5,10598.210080075363,5.0,5.0,3+,11.0,New Property,3321.0,0,0,0,0,0,1,105
flat,hcbs sports ville,sohna road,0.28,3768.506056527591,2.0,2.0,1,11.0,Relatively New,743.0,0,0,0,0,0,1,38
flat,puri the aravallis,sector 61,3.87,17200.0,3.0,4.0,3+,21.0,New Property,2730.0,0,0,0,0,0,1,58
flat,brisk lumbini terrace homes,sector 109,1.38,6338.998621956821,3.0,3.0,1,4.0,Moderately Old,2419.0,0,0,0,0,0,1,20
flat,huda ashok vihar phase,sector 4,0.43,6615.384615384615,2.0,2.0,1,2.0,Relatively New,722.0,0,0,0,0,0,1,7
flat,my home,sector 2,0.28,3167.420814479638,2.0,1.0,1,2.0,Relatively New,1000.0,0,0,0,0,1,1,15
flat,signature global city,sector 37,1.1,9838.998211091235,2.0,2.0,2,4.0,Relatively New,1242.0,0,0,0,0,0,1,59
flat,m3m heights,sector 65,2.0,13956.734124214934,2.0,2.0,2,32.0,Relatively New,1433.0,0,0,0,0,0,1,48
flat,signature global park,sohna road,0.9,8035.714285714285,3.0,2.0,2,2.0,Relatively New,1014.0,0,0,0,0,0,1,144
flat,signature global park,sohna road,0.9,8035.714285714285,3.0,2.0,0,2.0,Relatively New,1120.0,0,0,0,0,0,1,58
flat,godrej nature plus,sector 33,1.75,8767.53507014028,3.0,3.0,0,2.0,New Property,1996.0,0,0,0,0,0,1,56
flat,supertech hues,sector 68,0.93,8611.111111111111,2.0,2.0,2,11.0,New Property,1200.0,0,0,0,0,0,1,0
flat,dlf new town heights,sector 90,1.8,6600.660066006601,4.0,4.0,3+,23.0,Moderately Old,2468.0,0,0,0,0,0,1,67
flat,central park flower valley aqua front towers,sector 33,2.1,11738.401341531582,3.0,3.0,2,6.0,Under Construction,1619.0,0,0,0,0,0,1,24
flat,ambience creacions,sector 22,2.0,14492.753623188406,2.0,2.0,2,9.0,Relatively New,1533.0,0,0,0,0,0,1,49
