,property_type,sector,bedRoom,bathroom,balcony,agePossession,Built Up area,store room,servant room,furnishing_type,luxury_category,floor_category,price_in_crores
2372,0.0,9.0,2.0,2.0,1.0,3.0,515.0,0,0,1,1.0,0.0,0.4
2373,0.0,37.0,2.0,2.0,2.0,1.0,103.0,0,0,1,1.0,0.0,1.15
2374,0.0,87.0,3.0,2.0,4.0,1.0,1222.0,0,0,0,2.0,2.0,0.94
2375,0.0,54.0,5.0,5.0,4.0,0.0,5200.0,0,0,1,1.0,1.0,5.0
2376,0.0,95.0,3.0,2.0,2.0,3.0,1556.0,0,0,1,1.0,0.0,0.75
2377,0.0,88.0,2.0,2.0,2.0,1.0,1484.0,0,0,1,2.0,0.0,1.3
2378,0.0,87.0,3.0,3.0,3.0,1.0,2754.0,0,0,1,2.0,1.0,1.5
2379,0.0,95.0,3.0,3.0,3.0,3.0,2278.0,0,0,1,1.0,0.0,1.25
2380,0.0,100.0,2.0,1.0,2.0,1.0,913.0,0,0,1,2.0,2.0,0.65
2381,0.0,6.0,2.0,2.0,3.0,1.0,1086.0,0,0,1,2.0,2.0,0.9
2382,0.0,90.0,2.0,2.0,3.0,1.0,1350.0,0,0,1,1.0,2.0,0.92
2383,0.0,95.0,4.0,4.0,0.0,3.0,2040.0,0,0,1,1.0,2.0,1.3
2384,0.0,66.0,3.0,3.0,4.0,3.0,1642.0,0,0,0,1.0,0.0,3.0
2385,0.0,100.0,2.0,2.0,2.0,1.0,916.0,0,0,1,2.0,2.0,0.68
2386,0.0,91.0,3.0,3.0,3.0,1.0,1423.0,0,0,1,2.0,2.0,1.33
2387,0.0,12.0,2.0,2.0,4.0,1.0,1236.0,0,0,1,2.0,0.0,0.8
2388,0.0,91.0,3.0,2.0,3.0,0.0,1403.0,0,0,0,2.0,2.0,1.55
2389,0.0,98.0,2.0,2.0,1.0,3.0,606.0,0,0,1,2.0,2.0,0.35
2390,0.0,95.0,2.0,2.0,2.0,3.0,1109.0,0,0,1,2.0,1.0,0.49
2391,0.0,14.0,3.0,4.0,4.0,1.0,2339.0,0,0,1,2.0,2.0,2.3
2392,0.0,69.0,2.0,2.0,2.0,3.0,1500.0,0,0,0,1.0,2.0,1.5
2393,0.0,37.0,2.0,2.0,4.0,4.0,1539.0,0,0,1,1.0,0.0,1.25
2394,0.0,79.0,2.0,2.0,2.0,1.0,1489.0,0,0,1,2.0,2.0,1.0
2395,0.0,91.0,3.0,3.0,3.0,1.0,1774.0,0,0,1,2.0,2.0,1.6
2396,0.0,97.0,4.0,3.0,3.0,3.0,2824.0,0,0,1,1.0,2.0,1.1
2397,0.0,95.0,3.0,4.0,2.0,3.0,1475.0,0,0,1,2.0,1.0,1.7
2398,0.0,78.0,4.0,6.0,4.0,1.0,2398.0,0,0,1,2.0,2.0,1.46
2399,0.0,66.0,2.0,2.0,2.0,3.0,978.0,0,0,1,1.0,1.0,1.65
2400,0.0,90.0,3.0,3.0,4.0,1.0,1582.0,0,0,1,2.0,2.0,2.65
2401,0.0,8.0,1.0,2.0,2.0,1.0,402.0,0,0,1,1.0,2.0,0.3
2402,0.0,9.0,3.0,2.0,2.0,1.0,848.0,0,0,1,2.0,2.0,0.65
2403,0.0,64.0,3.0,3.0,2.0,4.0,1630.0,0,0,1,1.0,2.0,2.57
2404,0.0,95.0,2.0,2.0,3.0,3.0,1303.0,0,0,1,1.0,1.0,0.78
2405,0.0,97.0,2.0,2.0,1.0,1.0,694.0,0,0,0,2.0,0.0,0.33
2406,0.0,37.0,2.0,2.0,2.0,1.0,1492.0,0,0,1,2.0,1.0,1.2
2407,0.0,34.0,3.0,2.0,1.0,3.0,1000.0,0,0,1,1.0,2.0,0.4
2408,0.0,23.0,2.0,2.0,1.0,3.0,856.0,0,0,0,1.0,1.0,0.43
2409,0.0,84.0,4.0,6.0,4.0,3.0,3801.0,0,0,0,1.0,0.0,4.5
2410,0.0,12.0,2.0,2.0,2.0,3.0,922.0,0,0,2,1.0,2.0,0.38
2411,0.0,38.0,2.0,2.0,2.0,3.0,1309.0,0,0,1,1.0,2.0,0.75
2412,0.0,19.0,3.0,3.0,3.0,1.0,2281.0,0,0,1,1.0,2.0,3.21
2413,0.0,100.0,2.0,2.0,2.0,1.0,616.0,0,0,1,2.0,0.0,0.35
2414,0.0,80.0,2.0,2.0,1.0,0.0,1239.0,0,0,1,1.0,2.0,0.75
2415,0.0,95.0,4.0,3.0,3.0,0.0,1770.0,0,0,1,2.0,2.0,0.95
2416,0.0,84.0,3.0,3.0,0.0,3.0,1780.0,0,0,1,1.0,2.0,0.9
2417,0.0,96.0,2.0,2.0,0.0,3.0,597.0,0,0,1,1.0,2.0,0.85
2418,0.0,78.0,3.0,3.0,2.0,1.0,1628.0,0,0,1,2.0,2.0,1.92
2419,0.0,91.0,3.0,3.0,2.0,1.0,1423.0,0,0,1,1.0,1.0,1.2
2420,0.0,39.0,3.0,3.0,1.0,3.0,1500.0,0,0,1,1.0,1.0,1.1
2421,0.0,45.0,4.0,4.0,4.0,0.0,2712.0,0,0,1,1.0,2.0,6.5
2422,0.0,64.0,2.0,2.0,2.0,1.0,1389.0,0,0,1,1.0,2.0,1.85
2423,0.0,2.0,2.0,2.0,2.0,4.0,1130.0,0,0,0,2.0,2.0,1.38
2424,0.0,4.0,4.0,4.0,0.0,3.0,3250.0,0,0,1,1.0,2.0,4.26
2425,0.0,7.0,2.0,2.0,3.0,3.0,1368.0,0,0,1,1.0,0.0,1.42
2426,0.0,38.0,2.0,2.0,2.0,1.0,1479.0,0,0,1,2.0,0.0,2.3
2427,0.0,66.0,3.0,3.0,4.0,4.0,2667.0,0,0,1,2.0,1.0,3.7
2428,0.0,9.0,1.0,2.0,2.0,1.0,335.0,0,0,1,2.0,1.0,0.22
2429,0.0,39.0,2.0,2.0,3.0,1.0,919.0,0,0,1,1.0,2.0,0.6
2430,0.0,17.0,3.0,4.0,4.0,4.0,2104.0,0,0,1,1.0,0.0,1.65
2431,0.0,9.0,1.0,2.0,2.0,1.0,334.0,0,0,1,2.0,2.0,0.2
2432,0.0,95.0,3.0,4.0,3.0,0.0,1778.0,0,0,1,2.0,1.0,0.75
2433,0.0,49.0,4.0,5.0,4.0,1.0,3444.0,0,0,1,2.0,2.0,4.3
2434,0.0,73.0,3.0,3.0,3.0,1.0,1765.0,0,0,1,1.0,2.0,1.9
2435,0.0,33.0,3.0,4.0,4.0,0.0,1956.0,0,0,2,1.0,2.0,2.2
2436,0.0,41.0,3.0,3.0,4.0,2.0,2400.0,0,0,1,1.0,1.0,2.0
2437,0.0,7.0,2.0,2.0,2.0,3.0,915.0,0,0,1,1.0,0.0,0.95
2438,0.0,7.0,2.0,2.0,2.0,3.0,915.0,0,0,1,1.0,0.0,0.95
2439,0.0,97.0,3.0,2.0,2.0,1.0,761.0,0,0,1,1.0,2.0,0.4
2440,0.0,90.0,3.0,2.0,4.0,3.0,1463.0,0,0,2,1.0,2.0,1.62
2441,0.0,5.0,3.0,3.0,0.0,0.0,2200.0,0,0,1,1.0,2.0,0.85
2442,0.0,37.0,2.0,2.0,2.0,1.0,623.0,0,0,1,1.0,2.0,0.4
2443,0.0,67.0,3.0,3.0,3.0,1.0,2282.0,0,0,0,0.0,0.0,3.5
2444,0.0,39.0,3.0,3.0,3.0,3.0,1535.0,0,0,1,1.0,1.0,1.36
2445,0.0,64.0,3.0,3.0,3.0,1.0,1630.0,0,0,0,2.0,1.0,2.41
2446,0.0,7.0,2.0,2.0,1.0,3.0,915.0,0,0,1,1.0,2.0,1.1
2447,0.0,37.0,3.0,3.0,2.0,1.0,2093.0,0,0,1,2.0,1.0,2.5
2448,0.0,64.0,2.0,2.0,2.0,1.0,1278.0,0,0,1,2.0,2.0,1.47
2449,0.0,100.0,1.0,1.0,1.0,3.0,378.0,0,0,1,2.0,0.0,0.24
2450,0.0,45.0,3.0,4.0,2.0,2.0,2125.0,0,0,1,1.0,2.0,4.2
2451,0.0,98.0,3.0,4.0,3.0,1.0,2516.0,0,0,0,0.0,1.0,2.45
2452,0.0,81.0,3.0,3.0,0.0,3.0,1815.0,0,0,1,1.0,0.0,1.65
2453,0.0,88.0,3.0,3.0,2.0,3.0,1825.0,0,0,1,1.0,0.0,1.75
2454,0.0,66.0,2.0,2.0,2.0,3.0,1372.0,0,0,1,1.0,2.0,1.4
